epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,342.926,1.62531,1.4327,1.18233,0.7639,0.66666,0.7255,0.39241,1.46757,1.01223,1.15472,0.000416473,0.000416473,0.000416473
2,617.088,1.56419,1.00228,1.16367,0.80072,0.69476,0.76166,0.41898,1.44377,0.95403,1.15459,0.000750659,0.000750659,0.000750659
3,890.253,1.53297,0.92071,1.15238,0.77665,0.7105,0.76388,0.4267,1.42357,0.92849,1.14449,0.00100235,0.00100235,0.00100235
4,1165.94,1.50499,0.87131,1.14179,0.8083,0.73186,0.79187,0.44776,1.38768,0.86238,1.12631,0.00087875,0.00087875,0.00087875
5,1445.17,1.48153,0.82969,1.1263,0.81673,0.74999,0.80245,0.45625,1.3769,0.84881,1.11481,0.000755,0.000755,0.000755
6,1710.76,1.4503,0.78858,1.11267,0.82158,0.76316,0.81615,0.47555,1.34744,0.80953,1.10008,0.00063125,0.00063125,0.00063125
7,1981.17,1.43226,0.76053,1.10244,0.83903,0.76308,0.82703,0.48849,1.32359,0.77971,1.0906,0.0005075,0.0005075,0.0005075
8,2238.85,1.41005,0.73244,1.09371,0.84536,0.76486,0.83165,0.49122,1.3216,0.75226,1.0866,0.00038375,0.00038375,0.00038375
9,2490.89,1.38858,0.70464,1.08482,0.848,0.78741,0.84271,0.50314,1.29851,0.74055,1.07603,0.00026,0.00026,0.00026
10,2737.47,1.36913,0.68264,1.07542,0.85529,0.78635,0.84696,0.51372,1.28227,0.72645,1.06778,0.00013625,0.00013625,0.00013625
